                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2349,                 1.6697,                 1.2855,                0.81471,                0.77258,                0.85404,                0.55684,                 1.1302,                0.99687,                 1.1946,             0.00036953,             0.00036953,             0.00036953
                      2,                  1.164,                 1.1113,                 1.2243,                0.80338,                0.75722,                0.83743,                0.55476,                 1.1717,                0.97341,                  1.243,             0.00070324,             0.00070324,             0.00070324
                      3,                 1.1639,                 1.0264,                 1.2251,                0.82638,                0.77578,                0.85306,                0.56297,                 1.1487,                0.91716,                 1.2097,              0.0010003,              0.0010003,              0.0010003
                      4,                 1.1377,                0.95308,                  1.209,                0.86157,                0.81531,                0.89486,                0.59295,                 1.1336,                0.80166,                 1.1901,             0.00094602,             0.00094602,             0.00094602
                      5,                  1.105,                0.89829,                 1.1903,                0.86156,                0.80036,                0.88717,                0.62471,                 1.0502,                 0.7893,                 1.1459,             0.00089102,             0.00089102,             0.00089102
                      6,                 1.0694,                0.85311,                 1.1699,                0.87275,                0.84436,                0.91592,                0.65164,                 1.0177,                0.73886,                 1.1283,             0.00083603,             0.00083603,             0.00083603
                      7,                 1.0418,                0.80892,                 1.1588,                0.88305,                0.84535,                0.92511,                0.67305,                0.97559,                0.67632,                 1.1068,             0.00078103,             0.00078103,             0.00078103
                      8,                 1.0206,                0.77892,                 1.1427,                0.88841,                0.87287,                0.93361,                0.69162,                0.93505,                0.62075,                 1.0776,             0.00072604,             0.00072604,             0.00072604
                      9,                 1.0036,                0.75227,                 1.1339,                0.89606,                0.85312,                0.93149,                0.69508,                0.91988,                 0.6169,                 1.0706,             0.00067104,             0.00067104,             0.00067104
                     10,                 0.9854,                0.72824,                  1.122,                0.89243,                0.86622,                0.93657,                0.69468,                0.92945,                0.61561,                 1.0695,             0.00061605,             0.00061605,             0.00061605
                     11,                0.93978,                0.64174,                 1.1018,                0.88998,                0.87442,                  0.939,                 0.6911,                 0.9594,                0.60733,                 1.0931,             0.00056105,             0.00056105,             0.00056105
                     12,                0.90415,                0.60947,                 1.0836,                0.91079,                0.89458,                0.94956,                0.71897,                0.89286,                0.56539,                 1.0462,             0.00050606,             0.00050606,             0.00050606
                     13,                0.88119,                0.58497,                 1.0689,                0.90351,                0.89139,                0.95139,                0.73127,                0.86435,                0.55072,                 1.0347,             0.00045107,             0.00045107,             0.00045107
                     14,                0.87057,                0.56707,                 1.0592,                0.91673,                 0.8877,                0.95175,                0.73889,                0.85896,                0.53671,                  1.031,             0.00039607,             0.00039607,             0.00039607
                     15,                 0.8489,                0.53899,                  1.046,                0.91558,                0.89905,                0.95759,                0.74148,                0.85265,                  0.513,                 1.0152,             0.00034108,             0.00034108,             0.00034108
                     16,                0.82997,                0.52555,                 1.0384,                0.92004,                0.90507,                0.95811,                 0.7536,                0.82179,                0.49696,                 1.0063,             0.00028608,             0.00028608,             0.00028608
                     17,                0.80898,                0.50659,                  1.027,                0.92119,                0.90411,                0.95916,                0.75711,                0.81997,                0.48944,                 1.0063,             0.00023109,             0.00023109,             0.00023109
                     18,                0.79068,                0.48766,                 1.0186,                0.92514,                 0.9102,                0.96178,                0.76159,                0.80349,                0.47196,                0.99759,             0.00017609,             0.00017609,             0.00017609
                     19,                0.77278,                0.47346,                 1.0091,                0.93233,                0.90218,                0.96297,                0.76963,                0.79405,                0.46705,                0.99224,              0.0001211,              0.0001211,              0.0001211
                     20,                0.75163,                0.46184,                0.99832,                0.93157,                0.90724,                0.96286,                0.77316,                0.78442,                0.45878,                0.98827,             6.6105e-05,             6.6105e-05,             6.6105e-05
